tweet;link;date
. @SLCgov, @lyft, @SLCBikeShare, @RideUTA challenge residents to ‘Ditch your car’ for 30 days: https://utahpolicy.com/index.php/features/featured-articles/17934-salt-lake-city-lyft-greenbike-uta-challenge-residents-to-ditch-your-car-for-30-days … #membernews #downtownslc;https://twitter.com/saltlakechamber/status/1046165270677651456;2018-09-29 22:30:11
FR Update 4:01 pm: Expect minor residual delays as trains return to normal schedule.;https://twitter.com/RideUTA/status/1046157979681271808;2018-09-29 22:01:13
FR Alert 3:36 pm: Expect 10-15 min delay between South Jordan-Salt Lake Central on NB FR due to a medical emergency.;https://twitter.com/RideUTA/status/1046151752444252162;2018-09-29 21:36:28
The train is scheduled to depart Stadium at 2:28 pm. Do you recall where on the platform you were when you were running, waving, and calling? We don't see anyone doing that in the playback, and we certainly want to make sure the train operator was watching out for passengers.;https://twitter.com/RideUTA/status/1046145312119771138;2018-09-29 21:10:53
Wasn’t it scheduled to leave at 2:29?;https://twitter.com/StevenSeril/status/1046143448028393472;2018-09-29 21:03:29
I appreciate you looking into that. My wife is still very upset that we ran & waved/called to the driver but he drove off anyway, & that saddens me too.;https://twitter.com/StevenSeril/status/1046143200140963840;2018-09-29 21:02:29
Oh shoot! We checked the playback from station cameras, and the SB train departed Stadium at 2:28:43 pm, right on time. We recommend being at a station at least 5-7 minutes early, just to be safe.;https://twitter.com/RideUTA/status/1046142116018229248;2018-09-29 20:58:11
I have left but it says the time (which I think is wrong) and direction (Daybreak).;https://twitter.com/StevenSeril/status/1046140926379274240;2018-09-29 20:53:27
@RideUTA Your previous Redline train at Stadium left a minute early at 2:28 & left me & my wife behind. She was looking forward to our event today. Disappointed.;https://twitter.com/StevenSeril/status/1046140598661472256;2018-09-29 20:52:09
You're very welcome! :);https://twitter.com/RideUTA/status/1046139771616153600;2018-09-29 20:48:52
Thanks for letting us know. What message is on the signs, please? We aren't able to tell from the photo. Thanks!;https://twitter.com/RideUTA/status/1046139451502710785;2018-09-29 20:47:36
Got it! Thanks!;https://twitter.com/oterorios4/status/1046138477471883264;2018-09-29 20:43:43
Thanks for asking! Food and beverages are allowed on FrontRunner, provided they are in closed containers, and of course, non-alcoholic.;https://twitter.com/RideUTA/status/1046136136178044935;2018-09-29 20:34:25
@RideUTA Hey! Quick Q: are riders allowed to eat inside the FrontRunner?;https://twitter.com/oterorios4/status/1046135092903522305;2018-09-29 20:30:17
Hi Karen! The schedule was modified for special buses to shuttle the south end of the UVX route because the construction in the East Bay area does not allow enough room for our UVX buses.;https://twitter.com/RideUTA/status/1046099145323368455;2018-09-29 18:07:26
@RideUTA I tried to take a quick ride to Provo Towne Centre on UVX only to find that we all got dumped off at the FrontRunner station and now I have to wait for some shuttle to get to the mall. Why?;https://twitter.com/nativepilgrim/status/1046091372296572928;2018-09-29 17:36:33
To comply with the #ADA #TitleII and #TitleVI, @RideUTA and @ProvoOremTRIP must build a #UVX #UVExpress station at @byu_creamery on 9th and finish it by 3/2019 when UVX is complete, call 888-743-3882 ask for it @BYU #BYU @UVU #UVU #BYUCreamery @mayorkaufusi #mayorkaufusi bp;https://twitter.com/Mackerelcat/status/1046066385686863872;2018-09-29 15:57:15
To get more riders on @RideUTA's new #UVX, #UTA must service the #Provo #LDS / #Mormon #Temple HOURLY 6am-8pm Mon-Sat, 4000 volunteers staff it weekly, 1000s more want to go there, Call #RideUTA at 888-743-3882 and ask for it to start 12/18 @ProvoOremTRIP @BYU #BYU @UVU #UVUpic.twitter.com/cw0seUBIGj;https://twitter.com/Mackerelcat/status/1046066193138950145;2018-09-29 15:56:30
All this shows is it's WAY too easy to get a driver's license.;https://twitter.com/mike_hockerts/status/1046014618093608961;2018-09-29 12:31:33
Some Red Line stations will be closed this weekend (9/29-9/30) due to rail bridge construction. A bus bridge will transport riders between Historic Gardner, Bingham Junction and Fashion Place West stations. Details and FAQ: http://rideuta.com/news/2018/09/Expect-Impacts-to-Red-Line-Service-Sept-29-and-30 …;https://twitter.com/RideUTA/status/1045997602834190336;2018-09-29 11:23:56
Take @RideUTA transit and avoid weekend traffic. #TravelWisepic.twitter.com/S4me67nvyB;https://twitter.com/TravelWiseUtah/status/1045901059519057920;2018-09-29 05:00:19
To comply with the #ADA #TitleII and #TitleVI, @RideUTA and @ProvoOremTRIP must build a #UVX #UVExpress station at @byu_creamery on 9th and finish it by 3/2019 when UVX is complete, call 888-743-3882 ask for it @BYU #BYU @UVU #UVU #BYUCreamery @mayorkaufusi #mayorkaufusi bp;https://twitter.com/Mackerelcat/status/1045850780899565569;2018-09-29 01:40:31
To get more riders on @RideUTA's new #UVX, #UTA must service the #Provo #LDS / #Mormon #Temple HOURLY 6am-8pm Mon-Sat, 4000 volunteers staff it weekly, 1000s more want to go there, Call #RideUTA at 888-743-3882 and ask for it to start 12/18 @ProvoOremTRIP @BYU #BYU @UVU #UVUpic.twitter.com/XEo0EWCUU6;https://twitter.com/Mackerelcat/status/1045850660523012096;2018-09-29 01:40:03
Which train are you referring, please?;https://twitter.com/RideUTA/status/1045849953220866048;2018-09-29 01:37:14
@RideUTA so not only do I have to wait for an hour. Because nobody has anything to do on a Friday night. UTA held up a train because someone said a swear.;https://twitter.com/GingerdedFetus/status/1045848103729778688;2018-09-29 01:29:53
Can not believe how many stupid people are out there!!!;https://twitter.com/ovalspleen/status/1045846193065025536;2018-09-29 01:22:17
Hi Diane! Yes, there will be a bus bridge between Fashion Place West, Bingham Junction and Historic Gardner. Click on this link for more information: http://www.rideuta.com/News/2018/09/Expect-Impacts-to-Red-Line-Service-Sept-29-and-30 …;https://twitter.com/RideUTA/status/1045845077589929986;2018-09-29 01:17:52
Please pay attention when driving and especially around Trax lines Railroad crossings. Thanks @RideUTA for making this. #PayAttention #RailRoads #Traxshttps://twitter.com/UtahDOT/status/1045777041121935360 …;https://twitter.com/SLCScanner/status/1045844570439733254;2018-09-29 01:15:51
@RideUTA I was planning to go to Gardner Village tomorrow from Frontrunner and transfer to the Redline, will the closures impact my travel?;https://twitter.com/Tarvinabean/status/1045843120225579008;2018-09-29 01:10:05
FR Update 7:00 pm: Expect minor residual delays as trains return to normal schedule.;https://twitter.com/RideUTA/status/1045840600505954309;2018-09-29 01:00:04
You're welcome! Have a great weekend!;https://twitter.com/RideUTA/status/1045839621941334017;2018-09-29 00:56:11
Thanks!;https://twitter.com/drewtekulve/status/1045839040207974402;2018-09-29 00:53:52
We do, however, they are closed for the weekend. You will need to contact them on Monday morning, after 10:00 am, at 801-287-4664. http://www.rideuta.com/Rider-Info/Customer-Service …;https://twitter.com/RideUTA/status/1045838972591706113;2018-09-29 00:53:36
Can't feel sorry for anyone who walks in front of, or turns their car in front of a train. I understand mistakes happen, but damn! If you are walking or driving then you need to pay attention to the task at hand.;https://twitter.com/JenCaress/status/1045838665618939904;2018-09-29 00:52:23
@RideUTA I accidentally left my water bottle on the NB FR train at the south Jordan station just now. Do you have a list and found?;https://twitter.com/drewtekulve/status/1045837277216280576;2018-09-29 00:46:52
FR Update 6:24 pm: Expect 10-15 min delay between Lehi-Salt Lake Central on NB FR trains and between Lehi-Provo on SB FR. These delays are due to a crossing protection.;https://twitter.com/RideUTA/status/1045831658585444352;2018-09-29 00:24:32
I contacted dispatch and made your request. The bus operator will hold.;https://twitter.com/RideUTA/status/1045830697628389376;2018-09-29 00:20:43
@RideUTA Please hold 805 bus from Provo to allow arrival of delayed SB FR.;https://twitter.com/westbound_gps/status/1045829809035567105;2018-09-29 00:17:11
You're welcome! ^_^;https://twitter.com/RideUTA/status/1045829066832703489;2018-09-29 00:14:14
FR Update 6:13 pm: Expect 10-15 min delay between Draper-Provo on SB FR and between Murray Central-Salt Lake Central on NB FR.;https://twitter.com/RideUTA/status/1045828968077815808;2018-09-29 00:13:51
FR Alert 6:06 pm: Expect 10 - 15 minutes delayed between South Jordan and Provo Central.;https://twitter.com/RideUTA/status/1045827316021166081;2018-09-29 00:07:17
I know I’ve asked this a couple times lately. I appreciate how accommodating you folks are. Thanks!;https://twitter.com/JamesFesti/status/1045826641857937408;2018-09-29 00:04:36
Yes, I have notified dispatch to request the 805 hold until the passengers can transfer to the bus. Have a great weekend! :);https://twitter.com/RideUTA/status/1045825241459683329;2018-09-28 23:59:02
@RideUTA Right now, it looks like the SB Frontrunner will be pulling into Provo just as the last 805 (6:23) is scheduling to leave. Can you make sure they give us all a chance to disembark before they take off? Please? It’s Friday.;https://twitter.com/JamesFesti/status/1045824132724666368;2018-09-28 23:54:38
TRAX Update 5:54 pm: Expect minimal delays as trains get back on their regular schedule heading SB.;https://twitter.com/RideUTA/status/1045823998603530240;2018-09-28 23:54:06
We do not have any delays heading NB on Green line at this time. Where are you located?;https://twitter.com/RideUTA/status/1045821612157734912;2018-09-28 23:44:37
What's causing delays? Just going north to arena;https://twitter.com/LilMikii1997/status/1045819316715708419;2018-09-28 23:35:30
TRAX Alert 5:32 pm: Expect 15 minutes delays from City Center - West Valley Central Green Line SB.;https://twitter.com/RideUTA/status/1045818750883254280;2018-09-28 23:33:15
FR Update 4:58 pm: Expect minor residual delays as trains return to normal schedule.;https://twitter.com/RideUTA/status/1045810014995304448;2018-09-28 22:58:32
FR Update 4:23 pm: Expect 10-15 min delay between Draper-Salt Lake Central on NB FR and between American Fork-Provo on SB FR due to a crossing protection and re-designated meets.;https://twitter.com/RideUTA/status/1045803762642833408;2018-09-28 22:33:41
Silly train, roads are for cars.;https://twitter.com/RandomDick/status/1045803146356785153;2018-09-28 22:31:14
FR Update 4:19 pm: Expect 10-15 min delay between Murray Central-Salt Lake Central on NB FR due to a re-designated train meet.;https://twitter.com/RideUTA/status/1045800175367835649;2018-09-28 22:19:26
Trains are like... huge! Open your eyes!;https://twitter.com/coledrobison/status/1045795675722657792;2018-09-28 22:01:33
Thanks for the heads up! I'll notify our technicians.;https://twitter.com/RideUTA/status/1045791718547890177;2018-09-28 21:45:50
@RideUTA hey card read 16-14 at fashion place West on the daybreak side is off or broken;https://twitter.com/kelsonpeery1/status/1045790080109961216;2018-09-28 21:39:19
@Xterminator5 the last frame makes me think of you #seeTrackThinkTrain;https://twitter.com/dna3e8/status/1045780226846810112;2018-09-28 21:00:10
This week is #RailSafetyWeek. We partnered with @RideUTA and @oliutah to make this video showing what happens when drivers don't pay attention at train crossings.Always be cautious at railway crossings. Wait for lights to stop flashing, and never go around crossing arms.pic.twitter.com/k6J8vsMzzI;https://twitter.com/UtahDOT/status/1045777041121935360;2018-09-28 20:47:30
Nice, thanks.;https://twitter.com/seanp33/status/1045776492544905223;2018-09-28 20:45:20
There is a NB FrontRunner train scheduled to depart Murray at 4:39 pm. It was added back after this last Change Day. :);https://twitter.com/RideUTA/status/1045775320123682817;2018-09-28 20:40:40
@RideUTA Hi, is there a NB FR train departing Murray Central at 4:39 still? I thought train was removed, but it's still on the site.;https://twitter.com/seanp33/status/1045774761719083008;2018-09-28 20:38:27
Looking for a job? Visit us today until 9 p.m. at a job fair at 3761 W. Parkway Plaza Drive, South Jordan, to learn about careers with UTA.;https://twitter.com/RideUTA/status/1045764449360011264;2018-09-28 19:57:28
It's the last day of national #railsafetyweek. Today's tip: when you're driving near transit, please be sure to obey traffic signals and watch for trains.pic.twitter.com/4vP1MAaGPM;https://twitter.com/RideUTA/status/1045760640839606272;2018-09-28 19:42:20
Time for a new PO to get cut.;https://twitter.com/msbutah/status/1045757626221350912;2018-09-28 19:30:21
Heh they hit their API call limit. Google Maps is spendy now, too. :/;https://twitter.com/spangborn/status/1045757489915080710;2018-09-28 19:29:49
Thank you for providing the photo! I have notified our web developers.;https://twitter.com/RideUTA/status/1045756575254818817;2018-09-28 19:26:11
